Country-code,Major area (UN),"Region (GR)
(UN)",Sort Bureau,Bureu/operation (UNHCR),COUNTRY,Refugees,People in refugee-like situations,Total refugees and people in refugee-like situations,Of whom assisted by UNHCR,Asylum-seekers (pending cases),Returned refugees,"Internally Displaced Persons (IDPs) protected/ assisted by UNHCR, incl. people in IDP-like situations",Returned IDPs,Stateless persons,Others helped by UNHCR,Total population of concern
AFG,Asia,South-West Asia,2,RBAP,Afghanistan,37,0,37,37,10,"278,489","230,670","6,453",0,0,"515,659"
ALB,Europe,South-Eastern Europe,4,RBE,Albania,65,0,65,65,22,0,0,0,0,0,87
ALG,Africa,North Africa,3,MENA,Algeria,"94,093",0,"94,093","90,088",898,0,0,0,0,0,"94,991"
ANG,Africa,Southern Africa,1,SAO,Angola,"12,710",0,"12,710","4,812","3,185","13,052",0,0,0,0,"28,947"
ARG,Latin America and the Caribbean,Latin America,5,RBAC,Argentina,"2,845",0,"2,845",375,730,1,0,0,0,0,"3,576"
ARM,Asia,Eastern Europe,4,RBE,Armenia,"3,953",0,"3,953","3,226",171,1,0,0,0,0,"4,125"
AUL,Oceania,East Asia and the Pacific,2,RBAP,Australia,"20,919",0,"20,919",0,"2,159",0,0,0,0,0,"23,078"
AUS,Europe,Western Europe,4,RBE,Austria,"37,557",0,"37,557",0,"36,693",0,0,0,464,0,"74,714"
AZE,Asia,Eastern Europe,4,RBE,Azerbaijan,"2,061",0,"2,061","2,061",41,0,"603,251",0,"2,078",472,"607,903"
BAH,Asia,The Middle East,3,MENA,Bahrain,48,0,48,48,49,0,0,0,0,0,97
BGD,Asia,South Asia,2,RBAP,Bangladesh,"28,389",0,"28,389","28,123",3,0,0,0,0,0,"28,392"
BLR,Europe,Eastern Europe,4,RBE,Belarus,609,0,609,247,54,0,0,0,"7,818","2,420","10,901"
BEL,Europe,Western Europe,4,RBE,Belgium,"17,026",0,"17,026",0,"14,263",0,0,0,548,0,"31,837"
BZE,Latin America and the Caribbean,Latin America,5,RBAC,Belize,277,0,277,87,7,0,0,0,0,0,284
BEN,Africa,West Africa,1,WA,Benin,"6,933",0,"6,933","6,933",212,0,0,0,0,0,"7,145"
BOL,Latin America and the Caribbean,Latin America,5,RBAC,Bolivia (Plurinational State of),664,0,664,288,91,0,0,0,0,0,755
BSN,Europe,South-Eastern Europe,4,RBE,Bosnia and Herzegovina,"7,257",0,"7,257","1,481",480,971,"124,529",715,"10,000","50,496","194,448"
BOT,Africa,Southern Africa,1,SAO,Botswana,"3,019",0,"3,019","3,019",182,0,0,0,0,0,"3,201"
BRA,Latin America and the Caribbean,Latin America,5,RBAC,Brazil,"3,852",0,"3,852","2,531",517,0,0,0,0,0,"4,369"
BUL,Europe,Central Europe and the Baltic States,4,RBE,Bulgaria,"5,129",0,"5,129",0,"1,079",0,0,0,0,0,"6,208"
BKF,Africa,West Africa,1,WA,Burkina Faso,557,0,557,557,604,0,0,0,0,0,"1,161"
BDI,Africa,Central Africa and Great Lakes,1,CA-GL,Burundi,"21,093",0,"21,093","21,093","5,269","95,389","100,000",0,0,0,"221,751"
CAM,Asia,East Asia and the Pacific,2,RBAP,Cambodia,164,0,164,161,61,0,0,0,0,0,225
CMR,Africa,Central Africa and Great Lakes,1,CA-GL,Cameroon,"81,037",0,"81,037","81,037","2,231",0,0,0,0,0,"83,268"
CAN,Northern America,North America and the Caribbean,5,RBAC,Canada,"173,651",0,"173,651",0,"54,202",0,0,0,0,0,"227,853"
CAR,Africa,Central Africa and Great Lakes,1,CA-GL,Central African Rep.,"7,429",0,"7,429","4,319","1,454",18,"197,000",0,0,0,"205,901"
CHD,Africa,Central Africa and Great Lakes,1,CA-GL,Chad,"302,687","27,823","330,510","302,685",54,"4,415","166,718","37,615",0,0,"539,312"
CHL,Latin America and the Caribbean,Latin America,5,RBAC,Chile,"1,613",0,"1,613","1,613",890,0,0,0,0,0,"2,503"
CHI,Asia,East Asia and the Pacific,2,RBAP,China,"300,967",0,"300,967",55,20,0,0,0,0,4,"300,991"
COL,Latin America and the Caribbean,Latin America,5,RBAC,Colombia,170,0,170,170,82,31,"3,000,000",0,11,0,"3,000,294"
COI,Africa,Southern Africa,1,SAO,Comoros,0,0,0,0,0,0,0,0,0,0,0
COB,Africa,Central Africa and Great Lakes,1,CA-GL,"Congo, Rep. of","24,779",0,"24,779","13,730","3,255",105,0,0,0,0,"28,139"
