time,latitude,longitude,mag,id,updated,place,type,geom,state
12:02.7,35.9366667,-117.2221667,3.47,ci37300152,27:38.0,"23km NE of Trona, California",earthquake,0101000020AD100000A9B0ADFA374E5DC04AE0C5B1E4F74140,California
24:12.1,7.853,-78.214,4.3,usp000jqve,48:37.8,Panama,earthquake,0101000020AD10000004560E2DB28D53C0B6F3FDD478691F40,
29/12/2014 23:13,12.817,-88.558,4.3,usc000tapp,24:36.6,"51km S of Puerto El Triunfo, El Salvador",earthquake,0101000020AD100000C0CAA145B62356C0FCA9F1D24DA22940,
08:52.2,14.837,-93.656,3.7,usc000te0p,16:57.6,"104km SW of Mapastepec, Mexico",earthquake,0101000020AD100000448B6CE7FB6957C0068195438BAC2D40,
29/12/2014 17:50,36.7545,-98.1778,3.1,usc000takq,53:36.1,"15km E of Cherokee, Oklahoma",earthquake,0101000020AD100000A54E4013618B58C07F6ABC7493604240,Oklahoma
15:55.2,36.8363,-97.8757,3.3,usc000tajx,16:07.1,"13km WNW of Medford, Oklahoma",earthquake,0101000020AD100000DC4603780B7858C089D2DEE00B6B4240,Oklahoma
05/11/2011 13:42,35.53,-96.766,3.2,usp000jach,06/11/2014 20:46,Oklahoma,earthquake,0101000020AD1000001B2FDD24063158C0A4703D0AD7C34140,Oklahoma
42:20.9,40.2961667,-124.517,3.63,nc72372181,18:12.5,"37km SW of Ferndale, California",earthquake,0101000020AD1000000D022B8716215FC0065559CAE8254440,
17:28.1,17.059,-95.429,4.4,usp000k1mt,51:11.3,"Oaxaca, Mexico",earthquake,0101000020AD100000FA7E6ABC74DB57C0C976BE9F1A0F3140,
33:11.2,17.26,-95.576,4.1,usp000k15f,51:02.7,"Oaxaca, Mexico",earthquake,0101000020AD100000BF9F1A2FDDE457C0C3F5285C8F423140,
30/03/2010 20:42,44.672,-68.752,3,usp000ha5h,43:35.8,Maine,earthquake,0101000020AD100000E3A59BC4203051C0BC74931804564640,Maine
29/12/2014 12:54,52.7627,-167.9703,3,usc000tbsa,39:48.7,"63km ESE of Nikolski, Alaska",earthquake,0101000020AD100000E2E995B20CFF64C061545227A0614A40,
54:16.6,18.412,-72.579,4.5,usp000h62y,40:27.5,Haiti region,earthquake,0101000020AD100000931804560E2552C0B6F3FDD478693240,
00:36.7,36.799,-104.831,4.1,usp000gzsh,39:23.0,New Mexico,earthquake,0101000020AD10000077BE9F1A2F355AC083C0CAA145664240,New Mexico
30:05.1,36.361,-97.4511,3,usc000taic,59:38.1,"16km WNW of Perry, Oklahoma",earthquake,0101000020AD10000070CE88D2DE5C58C091ED7C3F352E4240,Oklahoma
56:46.7,39.6751667,-111.9696667,3.17,uu60096897,24:05.8,"12km WSW of Nephi, Utah",earthquake,0101000020AD1000004D21EB040FFE5BC093ECC7DC6BD64340,Utah
08:18.5,39.664,-111.9718333,3.66,uu60096887,23:29.5,"12km WSW of Nephi, Utah",earthquake,0101000020AD1000007A2A4C8432FE5BC0A245B6F3FDD44340,Utah
45:12.7,15.288,-91.894,5,usp000g7qt,11/02/2015 12:18,Guatemala,earthquake,0101000020AD100000EFA7C64B37F956C0FA7E6ABC74932E40,
04:12.9,18.6292,-64.8974,3.1,pr14363000,33:38.8,"32km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,0101000020AD1000008CDB68006F3950C0A9A44E4013A13240,
10:28.2,18.8756,-64.2228,3.2,pr14362005,14:48.3,"65km NE of Road Town, British Virgin Islands",earthquake,0101000020AD1000002063EE5A420E50C0AA60545227E03240,
28/12/2014 17:00,60.9465,-150.8657,3.1,ak11474602,37:25.5,"36km NE of Nikiski, Alaska",earthquake,0101000020AD100000B6847CD0B3DB62C0FED478E926794E40,
39:32.8,18.537,-64.4476,3.2,pr14362004,42:07.1,"22km NE of Road Town, British Virgin Islands",earthquake,0101000020AD100000226C787AA51C50C0B6F3FDD478893240,
02:56.7,35.8147,-97.4181,3,usc000tadx,58:29.9,"7km S of Guthrie, Oklahoma",earthquake,0101000020AD100000499D8026C25A58C08E06F01648E84140,Oklahoma
30:58.7,18.9904,-65.9692,3.1,pr14362000,33:08.5,"59km NNE of San Juan, Puerto Rico",earthquake,0101000020AD10000020D26F5F077E50C05AF5B9DA8AFD3240,
15:47.9,58.415,-137.0415,3.5,usc000taax,48:03.0,"76km W of Gustavus, Alaska",earthquake,0101000020AD10000017D9CEF7532161C085EB51B81E354D40,Alaska
40:49.3,52.637,-163.764,3,usc000tddi,40:14.8,"213km SE of Akutan, Alaska",earthquake,0101000020AD1000009CC420B0727864C0A8C64B3789514A40,
27/12/2014 17:22,67.6721,-162.2403,3.3,ak11474190,44:13.5,"16km NNW of Noatak, Alaska",earthquake,0101000020AD1000005227A089B04764C010E9B7AF03EB5040,Alaska
27/12/2014 16:39,36.2837,-96.8918,3.4,usc000ta8y,53:58.4,"9km SW of Pawnee, Oklahoma",earthquake,0101000020AD100000A9A44E40133958C007F0164850244240,Oklahoma
27/12/2014 14:31,56.4532,-155.0352,3,ak11474117,45:13.7,"78km NNE of Chirikof Island, Alaska",earthquake,0101000020AD100000371AC05B206163C00B462575023A4C40,
36:51.8,19.141,-66.897,3.2,pr14361006,27:38.0,"72km N of Isabela, Puerto Rico",earthquake,0101000020AD100000C420B07268B950C06ABC749318243340,
33:38.4,18.402,-99.846,4,usc000tdz6,25:12.6,"5km N of Teloloapan, Mexico",earthquake,0101000020AD100000A01A2FDD24F658C0F4FDD478E9663240,
17:14.5,35.9107,-97.2513,3,usc000ta7c,37:51.3,"3km S of Langston, Oklahoma",earthquake,0101000020AD100000075F984C155058C0CD3B4ED191F44140,Oklahoma
47:12.5,19.141,-66.847,3.4,pr14361005,09:44.5,"72km N of Hatillo, Puerto Rico",earthquake,0101000020AD10000091ED7C3F35B650C06ABC749318243340,
23:24.8,37.0159,-104.8487,3,usc000ta6r,48:47.3,"35km WSW of Trinidad, Colorado",earthquake,0101000020AD1000005F07CE1951365AC0D200DE0209824240,Colorado
21:36.2,35.8143,-97.4177,3,usc000ta60,09:53.5,"7km S of Guthrie, Oklahoma",earthquake,0101000020AD10000082E2C798BB5A58C000917EFB3AE84140,Oklahoma
27/12/2014 02:41,18.9528,-64.2397,3.3,pr14361003,25:46.4,"71km NNE of Road Town, British Virgin Islands",earthquake,0101000020AD1000007A36AB3E570F50C0F9A067B3EAF33240,
18:01.3,19.0729,-64.337,3.4,pr14361002,07:31.2,"78km NNE of Road Town, British Virgin Islands",earthquake,0101000020AD10000021B07268911550C0DFE00B93A9123340,
14:23.5,12.334,-59.7088,4.4,usc000tetq,21:28.5,"83km SSW of Oistins, Barbados",earthquake,0101000020AD100000D0B359F5B9DA4DC05FBA490C02AB2840,
04:21.8,19.2134,-64.3338,3.8,pr14361000,41:46.9,"93km NNE of Road Town, British Virgin Islands",earthquake,0101000020AD100000E8D9ACFA5C1550C066F7E461A1363340,
03:37.5,35.8104,-97.416,3.1,usc000ta2x,34:26.7,"7km S of Guthrie, Oklahoma",earthquake,0101000020AD100000B4C876BE9F5A58C0D656EC2FBBE74140,Oklahoma
12:57.3,36.8021,-98.1623,3,usc000ta2z,26:49.8,"18km ENE of Cherokee, Oklahoma",earthquake,0101000020AD10000003098A1F638A58C0910F7A36AB664240,Oklahoma
47:43.4,19.124,-66.3669,3.1,pr14360004,26:26.2,"72km N of Brenas, Puerto Rico",earthquake,0101000020AD100000C139234A7B9750C03AB4C876BE1F3340,
