Ignore,Year,Month,Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,System Transaction Number,Amount
194604,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GIBS LTD,1002189,"251,542.26"
194605,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Programme and Project Management Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,"11,157.30"
194606,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Temporary Staff (Admin and Clerical Only),DG CHANGE & DELIVERY,HAYS SPECIALIST RECRUITMENT LTD,1163726,"14,368.62"
194607,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Programme and Project Management Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,"12,870.00"
194608,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,IT/IS Consultancy,DG CENTRAL GROUP,HAYS SPECIALIST RECRUITMENT LTD,1163726,"8,064.00"
194609,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Corporate Strategy Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,"3,679.62"
194610,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Corporate Strategy Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,264.4
194611,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Corporate Strategy Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,643.93
194612,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Corporate Strategy Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,46.27
194613,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1163726,"8,130.49"
194614,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1163727,"113,130.70"
194615,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1163727,16.82
194616,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1163727,"19,797.87"
194617,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1163727,2.94
194618,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1163727,0.01
194619,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,THE CARBON TRUST,1163753,"34,500.00"
194620,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,P.A.Y.E Income Tax (Oracle PAY Control Account),NON CASH & UNALLOCATED COSTS,HM REVENUE & CUSTOMS,4006772,"4,000,783.16"
194621,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,National Insurance (NI) (Oracle PAY Control Account),NON CASH & UNALLOCATED COSTS,HM REVENUE & CUSTOMS,4006772,"2,326,586.95"
194622,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Aslc Contribution,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,4006773,"3,376,797.82"
194623,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Added Years and Wwpsc,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,4006773,"394,956.89"
194624,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Added Years and Wwpsc,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,4006773,"68,442.18"
194625,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,COLLIERS MEREDITH & GREW / TECHNOLOGY AGENCY ACCT,2000026560,"38,948.10"
194626,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,NATO,1001549,"4,920,263.14"
194627,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GIBS LTD,1001551,"39,127.92"
194628,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Research Budget,UK TRADE AND INVESTMENT DIRECTORATE,ERNST & YOUNG LLP,1163794,"25,000.00"
194629,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Research Budget,UK TRADE AND INVESTMENT DIRECTORATE,ERNST & YOUNG LLP,1163794,"4,375.00"
194630,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Information Systems Maintenance,DG CENTRAL GROUP,MICROSOFT LIMITED,1163825,"385,500.00"
194631,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,MICROSOFT LIMITED,1163825,"67,462.50"
