Country,Region,1960 Total pop (000s),"1960, 65+ as % of pop",1960 80+ as % of pop,1960 80+ as a % of 65+,1980 Total pop (000s),"1980, 65+ as % of pop",1980 80+ as % of pop,1980 80+ as a % of 65+,2010 Total pop (000s),2010 65+ as % of pop,2010 80+ as % of pop,2010 80+ as a % of 65+,2040 Total pop (000s),"2040, 65+ as % of pop",2040 80+ as % of pop,2040 80+ as a % of 65+
Austria,Western Europe,"6,935",10.4,1.2,11.5,"7,549",15.4,2.7,17.5,"8,214",18.1,5,27.7,"7,867",29.9,9.5,31.9
Belgium,Western Europe,"8,628",11,1.4,12.7,"9,828",14.4,2.6,18.1,"10,423",17.8,5.3,29.6,"10,206",27.3,9.4,34.6
Denmark,Western Europe,"4,271",9.1,1.2,13.2,"5,123",14.4,2.9,20.1,"5,516",16.6,4.2,25.2,"5,691",25,8.1,32.6
France,Western Europe,"41,829",11.4,1.7,14.9,"53,880",14,3.1,22.1,"64,806",16.5,5.3,31.8,"70,141",25.1,8.9,35.7
Germany,Western Europe,"68,376",9.7,1,10.3,"78,289",15.6,2.8,17.9,"82,283",20.4,5.2,25.3,"76,815",30.3,10.1,33.4
Greece,Western Europe,"7,566",6.8,1,14.7,"9,643",13.1,2.3,17.6,"10,750",19.4,5.3,27.3,"10,366",29.2,9.4,32.1
Italy,Western Europe,"47,104",8.3,1.1,13.3,"56,434",13.1,2.2,16.8,"58,091",20.3,6,29.6,"53,232",32.6,10.4,31.8
Norway,Western Europe,"3,265",9.7,1.7,17.5,"4,086",14.8,3,20.3,"4,676",15.6,4.7,29.9,"5,008",25.1,8.4,33.2
Sweden,Western Europe,"7,014",10.3,1.5,14.6,"8,310",16.3,3.2,19.6,"9,074",19.3,5.4,27.8,"9,212",25.8,9.1,35.2
United Kingdom,Western Europe,"50,616",10.7,1.5,14,"56,314",14.9,2.7,18.1,"61,285",16.4,4.6,28.2,"64,462",25.1,8,31.8
Bulgaria,Eastern Europe,"7,251",6.7,0.7,10.4,"8,862",11.9,1.6,13.4,"7,149",17.9,4,22.4,"5,305",28.3,9,31.9
Czech Republic,Eastern Europe,"8,925",8.3,1,12,"10,284",13.4,1.9,14.2,"10,202",15.9,3.9,24.5,"9,115",28.5,9.3,32.6
Hungary,Eastern Europe,"9,338",7.3,0.8,11,"10,707",13.4,2.1,15.7,"9,880",16,3.7,23.5,"8,830",25.5,8.2,32.2
Poland,Eastern Europe,"24,824",5.2,0.7,13.5,"35,574",10.1,1.5,14.9,"38,464",13.5,3.4,25.5,"34,481",25.9,9.4,36.1
Russia,Eastern Europe,"102,702",6.2,0.9,14.5,"138,655",10.2,1.4,13.7,"139,390",13.3,3,22.8,"116,553",22.8,7.2,31.5
Ukraine,Eastern Europe,"37,298",7.6,1.2,15.8,"50,044",11.9,1.7,14.3,"45,416",15.5,3.5,22.3,"36,513",24.9,7.6,30.7
Australia,Northern America/Oceania,"8,219",8.1,1.1,13.6,"14,638",9.6,1.7,17.7,"20,925",13.9,3.9,28.2,"24,034",23.6,7.7,32.8
Canada,Northern America/Oceania,"13,737",7.7,1.1,14.3,"24,516",9.4,1.8,19.1,"34,253",14.2,4,28.6,"40,479",24.4,8.3,34.1
New Zealand,Northern America/Oceania,"1,908",9,1.1,12.2,"3,113",10,1.7,17,"4,228",12.3,3.4,28,"4,863",21.4,6.4,29.9
United States,Northern America/Oceania,"157,813",8.3,1.1,13.3,"230,917",11.2,2.4,21.4,"309,163",13,3.8,29.3,"392,173",20.4,7.2,35.5
Egypt,Africa,"21,834",3,0.2,6.7,"43,674",3.9,0.4,10.3,"84,440",4.9,0.6,12.1,"119,470",11.8,2.4,20.3
Kenya,Africa,"6,077",3.9,0.3,7.7,"16,282",3,0.3,10,"40,047",2.7,0.4,13.7,"60,317",6,1,17.1
Malawi,Africa,"2,881",3.1,0.2,6.5,"6,215",2.8,0.3,10.7,"14,613",2.7,0.3,10.6,"26,024",2.8,0.5,17.6
Morocco,Africa,"8,953",2.9,0.2,6.9,"19,567",4.2,0.6,14.3,"35,301",5.2,0.8,15.8,"48,238",12.4,2.4,19.1
South Africa,Africa,"13,683",3.6,0.3,8.3,"29,074",3.1,0.4,12.9,"43,333",5.8,1,16.7,"35,390",10,2.8,27.8
Tunisia,Africa,"3,530",5.7,0.9,15.8,"6,458",3.8,0.3,7.9,"10,583",7.2,1.3,17.7,"12,503",18.2,3.8,20.7
Uganda,Africa,"5,158",3,0.3,10,"12,661",2.6,0.2,7.7,"33,399",2.1,0.3,13.5,"93,632",2.2,0.3,14.9
Zimbabwe…,Africa,"2,747",3.2,0.2,6.3,"7,285",2.9,0.3,10.3,"12,516",3.6,0.6,18.1,"12,545",5,1.4,28.2
Bangladesh,Asia,"43,852",5.1,0.6,11.8,"88,855",2.9,0.3,10.3,"159,765",3.7,0.5,12.9,"250,604",7.8,1.2,15.7
